Timestamp,User_ID,Sensitivity,Action,Status,,,
01/02/2010 09:01,CWG3213,No,Delete,Yes,0,3,1
01/02/2010 09:01,CWG3213,No,Modify,Yes,0,2,1
01/02/2010 09:10,CWG3213,Yes,Create,Yes,1,0,1
01/02/2010 10:19,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 10:48,CWG3213,No,Modify,Yes,0,2,1
01/02/2010 10:51,CWG3213,Yes,Create,Yes,1,0,1
01/02/2010 12:49,CWG3213,No,Delete,Yes,0,3,1
01/02/2010 12:49,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 14:26,CWG3213,No,Read,Yes,0,1,1
01/02/2010 14:27,CWG3213,No,Modify,Yes,0,2,1
01/02/2010 14:31,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 15:47,CWG3213,No,Read,Yes,0,1,1
01/02/2010 15:47,CWG3213,No,Delete,Yes,0,3,1
01/02/2010 16:50,CWG3213,No,Modify,Yes,0,2,1
01/02/2010 16:51,CWG3213,No,Read,Yes,0,1,1
01/02/2010 17:24,CWG3213,No,Delete,Yes,0,3,1
01/02/2010 17:27,CWG3213,No,Delete,Yes,0,3,1
01/02/2010 17:57,CWG3213,No,Read,Yes,0,1,1
01/02/2010 17:57,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 17:58,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 17:59,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 18:01,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 18:06,CWG3213,No,Modify,Yes,0,2,1
01/02/2010 18:07,CWG3213,Yes,Modify,Yes,1,2,1
01/02/2010 18:07,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:10,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:25,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:33,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:36,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:50,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 09:51,CWG3213,Yes,Create,Yes,1,0,1
01/03/2010 10:15,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 10:22,CWG3213,No,Delete,Yes,0,3,1
01/03/2010 13:33,CWG3213,No,Delete,Yes,0,3,1
01/03/2010 13:34,CWG3213,No,Delete,Yes,0,3,1
01/03/2010 13:35,CWG3213,No,Delete,Yes,0,3,1
01/03/2010 13:38,CWG3213,Yes,Create,Yes,1,0,1
01/03/2010 13:44,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 14:35,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 14:37,CWG3213,No,Modify,Yes,0,2,1
01/03/2010 16:55,CWG3213,No,Read,Yes,0,1,1
01/03/2010 16:55,CWG3213,No,Read,Yes,0,1,1
01/03/2010 16:57,CWG3213,No,Modify,Yes,0,2,1
01/03/2010 17:05,CWG3213,No,Modify,Yes,0,2,1
01/03/2010 17:09,CWG3213,Yes,Create,Yes,1,0,1
01/03/2010 17:15,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 17:22,CWG3213,Yes,Modify,Yes,1,2,1
01/03/2010 17:26,CWG3213,No,Delete,Yes,0,3,1
01/03/2010 17:40,CWG3213,No,Read,Yes,0,1,1
01/03/2010 17:44,CWG3213,Yes,Create,Yes,1,0,1
01/04/2010 09:10,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 09:12,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 09:38,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 09:41,CWG3213,No,Read,Yes,0,1,1
01/04/2010 09:43,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 10:36,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 10:38,CWG3213,Yes,Create,Yes,1,0,1
01/04/2010 10:38,CWG3213,Yes,Create,Yes,1,0,1
01/04/2010 12:29,CWG3213,No,Read,Yes,0,1,1
01/04/2010 12:36,CWG3213,Yes,Create,Yes,1,0,1
01/04/2010 12:39,CWG3213,No,Read,Yes,0,1,1
01/04/2010 12:39,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 13:12,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 13:15,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 13:16,CWG3213,Yes,Modify,Yes,1,2,1
01/04/2010 14:16,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 14:19,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 14:35,CWG3213,Yes,Create,Yes,1,0,1
01/04/2010 14:43,CWG3213,No,Read,Yes,0,1,1
01/04/2010 16:15,CWG3213,No,Delete,Yes,0,3,1
01/04/2010 18:07,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 18:29,CWG3213,No,Modify,Yes,0,2,1
01/04/2010 18:31,CWG3213,No,Read,Yes,0,1,1
01/05/2010 09:34,CWG3213,No,Delete,Yes,0,3,1
01/05/2010 10:08,CWG3213,No,Delete,Yes,0,3,1
01/05/2010 12:14,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 12:14,CWG3213,Yes,Create,Yes,1,0,1
01/05/2010 12:14,CWG3213,No,Read,Yes,0,1,1
01/05/2010 12:14,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 12:15,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 12:18,CWG3213,No,Delete,Yes,0,3,1
01/05/2010 12:21,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 12:22,CWG3213,Yes,Create,Yes,1,0,1
01/05/2010 12:22,CWG3213,No,Read,Yes,0,1,1
01/05/2010 12:23,CWG3213,Yes,Create,Yes,1,0,1
01/05/2010 12:24,CWG3213,No,Delete,Yes,0,3,1
01/05/2010 12:45,CWG3213,Yes,Modify,Yes,1,2,1
01/05/2010 13:25,CWG3213,No,Read,Yes,0,1,1
01/05/2010 13:49,CWG3213,No,Read,Yes,0,1,1
01/05/2010 13:57,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 14:46,CWG3213,No,Delete,Yes,0,3,1
01/05/2010 14:48,CWG3213,Yes,Modify,Yes,1,2,1
01/05/2010 14:56,CWG3213,No,Modify,Yes,0,2,1
01/05/2010 16:38,CWG3213,Yes,Modify,Yes,1,2,1
01/05/2010 16:40,CWG3213,Yes,Modify,Yes,1,2,1
01/05/2010 17:27,CWG3213,No,Delete,Yes,0,3,1
